"geneID","length"
"42sp43.L",4096
"42sp50.L",1581
"a1cf.L",3984
"a2m.L",10102
"a2m.S",10102
"a2ml1.L",4945
"a4gnt.L",1762
"aaas.L",2855
"aacs.L",4890
"aadac.S",1892
"aadat.L",2133
"aadat.S",2133
"aagab.L",1349
"aagab.S",1349
"aak1.S",6278
"aamdc.S",789
"aamp.L",5065
"aamp.S",5065
"aanat.L",926
"aanat.S",926
"aar2.L",6171
"aarsd1.L",2610
"aasdh.L",3686
"aasdhppt.S",1914
"aass.L",3448
"aatf.S",1863
"aatk.L",5639
"abca1.S",7949
"abca12.S",23776
"abca3.L",7452
"abca3.S",7452
"abca4.L",7801
"abca5.L",5700
"abca5.S",5700
"abca8.L",1965
"abcb6.L",6087
"abcb7.L",2596
"abcb7.S",2596
"abcb8.L",2757
"abcb9.L",2729
"abcc1.L",5918
"abcc10.L",7974
"abcc2.L",5130
"abcc3.S",5937
"abcc4.L",5391
"abcc5.L",5075
"abcc5.S",5075
"abcc6.L",7487
"abcd1.L",3177
"abcd2.L",6592
"abcd2.S",6592
"abcd3.S",2930
"abce1.L",2345
"abce1.S",2345
"abcf1.L",2991
"abcf2.L",2328
"abcf3.L",2538
"abcf3.S",2538
"abcg2.L",3127
"abcg2.S",3127
"abcg4.L",3158
"abcg4.S",3158
"abcg5.S",3382
"abhd10.L",4935
"abhd11.L",3971
"abhd12.S",5378
"abhd13.L",4017
"abhd13.S",4017
"abhd14a.L",1264
"abhd14a.S",1264
"abhd14b.L",1177
"abhd15.L",2868
"abhd15.S",2868
"abhd16a.L",2137
"abhd16a.S",2137
"abhd17a.L",2075
"abhd17a.S",2075
"abhd17b.L",1781
"abhd17b.S",1781
"abhd17c.L",2434
"abhd17c.S",2434
"abhd18.L",2862
"abhd3.S",2142
"abhd4.L",3506
"abhd4.S",3506
"abhd5.L",6656
"abhd5.S",6656
"abhd6.L",2391
"abhd8.L",2145
"abhd8.S",2145
"abi1.L",6339
"abi1.S",6339
"abi2.L",2656
"abi3.L",1757
"abl1.S",8569
"abl2.L",9022
"ablim1.S",4516
"ablim2.L",9707
"abr.L",4513
"abr.S",4513
"abra.L",2723
"abt1.L",900
"abtb1.S",4386
"abtb2.S",4321
"acaa1.L",4295
"acaa2.L",2160
"acacb.L",8162
"acad10.L",3607
"acad11.L",4998
"acad8.L",1637
"acad9.S",2412
"acadl.L",2834
"acadm.L",1468
"acadm.S",1468
"acads.L",2996
"acads.S",2996
"acadsb.L",3732
"acadvl.L",2168
"acap1.S",2822
"acap2.L",3117
"acap2.S",3117
"acat2.L",1904
"acat2.S",1904
"acbd3.L",5029
"acbd3.S",5029
"acbd4.L",1463
"acbd5.L",6315
"acbd6.L",2802
"acbd6.S",2802
"acbd7.L",2061
"accs.L",1770
"ace2.L",3782
"ace2.S",3782
"acer1.L",1161
"acer1.S",1161
"acer2.S",2089
"acer3.L",1240
"acer3.S",1240
"ache.L",4739
"ache.S",4739
"acin1.L",7672
"acin1.S",7672
"ackr3.L",2215
"ackr3.S",2215
"ackr4.L",1953
"acly.L",6293
"acly.S",6293
"acmsd.L",4379
"acmsd.S",4379
"aco1.L",3612
"aco2.L",2758
"aco2.S",2758
"acot12.L",2514
"acot12.S",2514
"acot13.S",929
"acot2.S",1915
"acot7.L",2406
"acot8.S",1129
"acot9.L",1983
"acox1.L",4178
"acox2.L",3089
"acox3.L",4599
"acp1.L",928
"acp1.S",928
"acp2.S",3633
"acp5.L",6259
"acp5.S",6259
"acp6.S",2673
"acp7.L",2977
"acsbg1.L",2541
"acsbg2.L",4358
"acsf2.L",5812
"acsf2.S",5812
"acsf3.L",2636
"acsf3.S",2636
"acsl1.L",2814
"acsl1.S",2814
